Loading internal logger. Log::Log4perl recommended for better logging
WWW::PipeViewer	0.1.5
Specio::Library::Structured::Dict	0.42
Specio::Library::Structured::Map	0.42
Specio::Library::Structured::Tuple	0.42
Specio::Role::Inlinable	0.42
Specio::Constraint::Parameterizable	0.42
Specio::Constraint::ObjectIsa	0.42
Specio::Constraint::Union	0.42
Specio::Constraint::Simple	0.42
Specio::Constraint::AnyDoes	0.42
Specio::Constraint::ObjectDoes	0.42
Specio::Constraint::ObjectCan	0.42
Specio::Constraint::AnyIsa	0.42
Specio::Constraint::Enum	0.42
Specio::Constraint::Structurable	0.42
Specio::Constraint::AnyCan	0.42
Specio::Constraint::Structured	0.42
Specio::Constraint::Intersection	0.42
Specio::Constraint::Parameterized	0.42
Specio::Constraint::Role::IsaType	0.42
Specio::Constraint::Role::CanType	0.42
Specio::Constraint::Role::Interface	0.42
Specio::Constraint::Role::DoesType	0.42
MIME::Charset	1.012.2
MIME::Charset::UTF	1.010
MIME::Charset::_Compat	1.003.1
Class::Data::Inheritable	0.08
Sub::Exporter	0.988
Sub::Install	0.928
Sub::Defer	2.006006
Sub::Quote	2.006006
Sub::Exporter::Progressive	0.001013
Sub::Exporter::Util	0.988
Date::Language	1.10
Date::Parse	2.33
Date::Format	2.24
Date::Language::Turkish	1.0
Date::Language::Spanish	1.00
Date::Language::German	1.02
Date::Language::Romanian	1.01
Date::Language::Russian	1.01
Date::Language::Norwegian	1.01
Date::Language::Bulgarian	1.01
Date::Language::Icelandic	1.01
Date::Language::Russian_koi8r	1.01
Date::Language::Swedish	1.01
Date::Language::Dutch	1.02
Date::Language::Finnish	1.01
Date::Language::Austrian	1.01
Date::Language::TigrinyaEritrean	1.00
Date::Language::Somali	0.99
Date::Language::Gedeo	0.99
Date::Language::Italian	1.01
Date::Language::Tigrinya	1.00
Date::Language::English	1.01
Date::Language::Amharic	1.00
Date::Language::Danish	1.01
Date::Language::Hungarian	1.01
Date::Language::TigrinyaEthiopian	1.00
Date::Language::Czech	1.01
Date::Language::Chinese	1.00
Date::Language::Brazilian	1.01
Date::Language::Russian_cp1251	1.01
Date::Language::Chinese_GB	1.01
Date::Language::Greek	1.00
Date::Language::Sidama	0.99
Date::Language::French	1.04
Date::Language::Oromo	0.99
Date::Language::Afar	0.99
Date::Language::Occitan	1.04
Capture::Tiny	0.48
YAML::Types	undef
YAML::Mo	undef
YAML::Any	1.26
YAML::Marshall	undef
YAML::Error	undef
YAML::Tag	undef
YAML::Dumper	undef
YAML::Tiny	1.73
YAML::Node	undef
YAML::Loader	undef
YAML::Loader::Base	undef
YAML::Dumper::Base	undef
Git::SVN	undef
Git::IndexInfo	undef
Git::LoadCPAN	undef
Git::Packet	undef
Git::I18N	undef
Git::LoadCPAN::Error	undef
Git::LoadCPAN::Mail::Address	undef
Git::SVN::Prompt	undef
Git::SVN::Ra	undef
Git::SVN::Editor	undef
Git::SVN::Log	undef
Git::SVN::Utils	undef
Git::SVN::Migration	undef
Git::SVN::Fetcher	undef
Git::SVN::GlobSpec	undef
Git::SVN::Memoize::YAML	undef
Role::Tiny	2.002004
Role::Tiny::With	2.002004
URI::WithBase	2.20
URI::Escape	3.31
URI::mms	1.73
URI::_punycode	1.73
URI::_idna	1.73
URI::_ldap	1.73
URI::pop	1.73
URI::_generic	1.73
URI::mailto	1.73
URI::tn3270	1.73
URI::http	1.73
URI::file	4.21
URI::gopher	1.73
URI::ldapi	1.73
URI::QueryParam	1.73
URI::telnet	1.73
URI::sips	1.73
URI::URL	5.04
URI::data	1.73
URI::sftp	1.73
URI::_query	1.73
URI::rsync	1.73
URI::nntp	1.73
URI::_foreign	1.73
URI::Split	1.73
URI::IRI	1.73
URI::sip	1.73
URI::_server	1.73
URI::snews	1.73
URI::_login	1.73
URI::https	1.73
URI::ssh	1.73
URI::urn	1.73
URI::news	1.73
URI::rlogin	1.73
URI::_segment	1.73
URI::ldap	1.73
URI::ftp	1.73
URI::rtspu	1.73
URI::ldaps	1.73
URI::rtsp	1.73
URI::Heuristic	4.20
URI::_userpass	1.73
URI::file::Base	1.73
URI::file::OS2	1.73
URI::file::Mac	1.73
URI::file::QNX	1.73
URI::file::Unix	1.73
URI::file::Win32	1.73
URI::file::FAT	1.73
URI::urn::oid	1.73
URI::urn::isbn	1.73
WWW::RobotRules	6.02
WWW::RobotRules::AnyDBM_File	6.00
Params::ValidationCompiler	0.30
Params::ValidationCompiler::Compiler	0.30
Params::ValidationCompiler::Exceptions	0.30
Error::Simple	0.17029
Canary::Stability	2013
ExtUtils::HasCompiler	0.023
OLE::Storage_Lite	0.20
JSON::backportPP	4.06
JSON::backportPP::Compat5006	1.08
JSON::backportPP::Boolean	4.06
JSON::backportPP::Compat5005	1.10
File::DesktopEntry	0.22
File::UserDirs	0.08
File::HomeDir	1.006
File::Which	1.27
File::IconTheme	0.08
File::Listing	6.14
File::MimeInfo	0.30
File::BaseDir	0.08
File::Slurper	0.012
File::Temp	0.2311
File::HomeDir::Test	1.006
File::HomeDir::MacOS9	1.006
File::HomeDir::Windows	1.006
File::HomeDir::Darwin	1.006
File::HomeDir::Unix	1.006
File::HomeDir::FreeDesktop	1.006
File::HomeDir::Driver	1.006
File::HomeDir::Darwin::Carbon	1.006
File::HomeDir::Darwin::Cocoa	1.006
File::MimeInfo::Rox	0.30
File::MimeInfo::Applications	0.30
File::MimeInfo::Magic	0.30
SGMLS::Output	undef
SGMLS::Refs	undef
CGI::Push	4.51
CGI::Carp	4.51
CGI::Cookie	4.51
CGI::Pretty	4.51
CGI::Util	4.51
CGI::File::Temp	4.51
CGI::HTML::Functions	undef
namespace::autoclean	0.29
namespace::clean	0.27
namespace::clean::_Util	undef
Text::WrapI18N	0.06
Authen::SASL	2.16
Authen::SASL::CRAM_MD5	2.14
Authen::SASL::EXTERNAL	2.14
Authen::SASL::Perl	2.14
Authen::SASL::Perl::LOGIN	2.14
Authen::SASL::Perl::PLAIN	2.14
Authen::SASL::Perl::CRAM_MD5	2.14
Authen::SASL::Perl::EXTERNAL	2.14
Authen::SASL::Perl::DIGEST_MD5	2.14
Authen::SASL::Perl::ANONYMOUS	2.14
Authen::SASL::Perl::GSSAPI	0.05
Config::AutoConf	0.319
Spreadsheet::ParseExcel	0.65
Spreadsheet::ParseExcel::Utility	0.65
Spreadsheet::ParseExcel::FmtDefault	0.65
Spreadsheet::ParseExcel::FmtJapan	0.65
Spreadsheet::ParseExcel::Cell	0.65
Spreadsheet::ParseExcel::Font	0.65
Spreadsheet::ParseExcel::FmtUnicode	0.65
Spreadsheet::ParseExcel::SaveParser	0.65
Spreadsheet::ParseExcel::Worksheet	0.65
Spreadsheet::ParseExcel::Workbook	0.65
Spreadsheet::ParseExcel::Format	0.65
Spreadsheet::ParseExcel::FmtJapan2	0.65
Spreadsheet::ParseExcel::Dump	0.65
Spreadsheet::ParseExcel::SaveParser::Worksheet	0.65
Spreadsheet::ParseExcel::SaveParser::Workbook	0.65
IPC::System::Simple	1.30
Try::Tiny	0.30
Exception::Class	1.45
Exception::Class::Base	1.45
Shell::EnvImporter	1.06
Shell::EnvImporter::Shell	undef
Shell::EnvImporter::Result	undef
Shell::EnvImporter::Change	undef
Shell::EnvImporter::Shell::zsh	undef
Shell::EnvImporter::Shell::perl	undef
Shell::EnvImporter::Shell::csh	undef
Shell::EnvImporter::Shell::sh	undef
Shell::EnvImporter::Shell::ksh	undef
Shell::EnvImporter::Shell::tcsh	undef
Shell::EnvImporter::Shell::bash	undef
XML::Simple	2.25
XML::SAX	1.00
XML::XPath	1.42
XML::NamespaceSupport	1.12
XML::XPath::Literal	1.42
XML::XPath::Number	1.42
XML::XPath::Boolean	1.42
XML::XPath::PerlSAX	1.42
XML::XPath::Root	1.42
XML::XPath::Parser	1.42
XML::XPath::XMLParser	1.42
XML::XPath::LocationPath	1.42
XML::XPath::Builder	1.42
XML::XPath::Function	1.42
XML::XPath::Variable	1.42
XML::XPath::NodeSet	1.42
XML::XPath::Expr	1.42
XML::XPath::Step	1.42
XML::XPath::Node	1.42
XML::XPath::Node::PI	1.42
XML::XPath::Node::Element	1.42
XML::XPath::Node::Comment	1.42
XML::XPath::Node::Text	1.42
XML::XPath::Node::Namespace	1.42
XML::XPath::Node::Attribute	1.42
XML::SAX::ParserFactory	1.01
XML::SAX::Base	1.09
XML::SAX::Exception	1.09
XML::SAX::Expat	0.51
XML::SAX::DocumentLocator	undef
XML::SAX::PurePerl	1.00
XML::SAX::PurePerl::NoUnicodeExt	undef
XML::SAX::PurePerl::DTDDecls	undef
XML::SAX::PurePerl::DocType	undef
XML::SAX::PurePerl::Exception	undef
XML::SAX::PurePerl::Productions	undef
XML::SAX::PurePerl::XMLDecl	undef
XML::SAX::PurePerl::Reader	undef
XML::SAX::PurePerl::EncodingDetect	undef
XML::SAX::PurePerl::UnicodeExt	undef
XML::SAX::PurePerl::DebugHandler	undef
XML::SAX::PurePerl::Reader::NoUnicodeExt	undef
XML::SAX::PurePerl::Reader::URI	undef
XML::SAX::PurePerl::Reader::Stream	undef
XML::SAX::PurePerl::Reader::String	undef
XML::SAX::PurePerl::Reader::UnicodeExt	undef
LWP::RobotUA	6.55
LWP::MemberMixin	6.55
LWP::Simple	6.55
LWP::ConnCache	6.55
LWP::MediaTypes	6.04
LWP::UserAgent	6.55
LWP::DebugFile	6.55
LWP::Protocol	6.55
LWP::Debug	6.55
LWP::Debug::TraceHTTP	6.55
LWP::Authen::Digest	6.55
LWP::Authen::Ntlm	6.55
LWP::Authen::Basic	6.55
LWP::UserAgent::Cached	0.08
LWP::Protocol::mailto	6.55
LWP::Protocol::http	6.55
LWP::Protocol::file	6.55
LWP::Protocol::gopher	6.55
LWP::Protocol::loopback	6.55
LWP::Protocol::nogo	6.55
LWP::Protocol::data	6.55
LWP::Protocol::nntp	6.55
LWP::Protocol::https	6.10
LWP::Protocol::cpan	6.55
LWP::Protocol::ftp	6.55
Net::HTTP	6.21
Net::HTTPS	6.21
Net::HTTP::NB	6.21
Net::HTTP::Methods	6.21
Gentoo::Portage	0.01
Gentoo::CPAN	0.01
Gentoo::UI::Console	0.02
Types::Serialiser	1.0
Types::Serialiser::Error	undef
Encode::Locale	1.05
Pod::Find	1.63
Pod::Select	1.63
Pod::ParseUtils	1.63
Pod::Parser	1.63
Pod::PlainText	2.07
Pod::InputObjects	1.63
Time::Zone	2.24
Dist::CheckConflicts	0.11
Module::Build	0.4231
Module::Runtime	0.016
Module::Implementation	0.09
Module::Build::Base	0.4231
Module::Build::ConfigData	undef
Module::Build::Notes	0.4231
Module::Build::Dumper	0.4231
Module::Build::Compat	0.4231
Module::Build::Cookbook	0.4231
Module::Build::Config	0.4231
Module::Build::PPMMaker	0.4231
Module::Build::PodParser	0.4231
Module::Build::Platform::VMS	0.4231
Module::Build::Platform::VOS	0.4231
Module::Build::Platform::aix	0.4231
Module::Build::Platform::Windows	0.4231
Module::Build::Platform::darwin	0.4231
Module::Build::Platform::os2	0.4231
Module::Build::Platform::cygwin	0.4231
Module::Build::Platform::Unix	0.4231
Module::Build::Platform::MacOS	0.4231
Module::Build::Platform::Default	0.4231
Log::Dispatch	2.70
Log::Agent	1.005
Log::Agent::Stamping	undef
Log::Agent::Formatting	undef
Log::Agent::Prefixer	undef
Log::Agent::File_Pool	undef
Log::Agent::Message	undef
Log::Agent::Tag	undef
Log::Agent::Priorities	undef
Log::Agent::Channel	undef
Log::Agent::Tag_List	undef
Log::Agent::Driver	undef
Log::Agent::Channel::File	undef
Log::Agent::Channel::Syslog	undef
Log::Agent::Channel::Handle	undef
Log::Agent::Tag::Callback	undef
Log::Agent::Tag::Priority	undef
Log::Agent::Tag::Caller	undef
Log::Agent::Tag::String	undef
Log::Agent::File::Native	undef
Log::Agent::Driver::Silent	undef
Log::Agent::Driver::File	undef
Log::Agent::Driver::Fork	undef
Log::Agent::Driver::Syslog	undef
Log::Agent::Driver::Mail	undef
Log::Agent::Driver::Datum	undef
Log::Agent::Driver::Default	undef
Log::Dispatch::Screen	2.70
Log::Dispatch::Code	2.70
Log::Dispatch::Output	2.70
Log::Dispatch::Email	2.70
Log::Dispatch::Base	2.70
Log::Dispatch::Types	2.70
Log::Dispatch::File	2.70
Log::Dispatch::Syslog	2.70
Log::Dispatch::Handle	2.70
Log::Dispatch::ApacheLog	2.70
Log::Dispatch::Null	2.70
Log::Dispatch::Conflicts	undef
Log::Dispatch::Vars	2.70
Log::Dispatch::Email::MailSend	2.70
Log::Dispatch::Email::MIMELite	2.70
Log::Dispatch::Email::MailSendmail	2.70
Log::Dispatch::Email::MailSender	2.70
Log::Dispatch::File::Locked	2.70
Perl::Tidy	20210717
Perl::Tidy::FileWriter	20210717
Perl::Tidy::Formatter	20210717
Perl::Tidy::DevNull	20210717
Perl::Tidy::LineSource	20210717
Perl::Tidy::IndentationItem	20210717
Perl::Tidy::Tokenizer	20210717
Perl::Tidy::LineSink	20210717
Perl::Tidy::Diagnostics	20210717
Perl::Tidy::HtmlWriter	20210717
Perl::Tidy::IOScalar	20210717
Perl::Tidy::LineBuffer	20210717
Perl::Tidy::Logger	20210717
Perl::Tidy::Debugger	20210717
Perl::Tidy::VerticalAligner	20210717
Perl::Tidy::IOScalarArray	20210717
Perl::Tidy::VerticalAligner::Alignment	20210717
Perl::Tidy::VerticalAligner::Line	20210717
Crypt::RC4	2.02
Data::OptList	0.110
Data::Dump	1.23
Data::Dump::FilterContext	undef
Data::Dump::Trace	0.02
Data::Dump::Filtered	undef
Digest::HMAC_SHA1	1.04
Digest::HMAC_MD5	1.04
Digest::HMAC	1.04
Digest::Perl::MD5	1.9
Mail::Internet	2.21
Mail::Mailer	2.21
Mail::Field	2.21
Mail::Cap	2.21
Mail::Filter	2.21
Mail::Send	2.21
Mail::Header	2.21
Mail::Address	2.21
Mail::Util	2.21
Mail::Mailer::testfile	2.21
Mail::Mailer::smtps	2.21
Mail::Mailer::qmail	2.21
Mail::Mailer::sendmail	2.21
Mail::Mailer::rfc822	2.21
Mail::Mailer::smtp	2.21
Mail::Field::Date	2.21
Mail::Field::Generic	2.21
Mail::Field::AddrList	2.21
Ref::Util	0.204
Ref::Util::PP	0.204
HTML::Tagset	3.20
Test::Fatal	0.016
Test::Specio	0.42
Devel::GlobalDestruction	0.14
Devel::StackTrace	2.04
Devel::StackTrace::Frame	2.04
HTTP::Status	6.32
HTTP::Headers	6.32
HTTP::Date	6.05
HTTP::Message	6.32
HTTP::Cookies	6.10
HTTP::Negotiate	6.01
HTTP::Response	6.32
HTTP::Config	6.32
HTTP::Request	6.32
HTTP::Headers::Auth	6.32
HTTP::Headers::ETag	6.32
HTTP::Headers::Util	6.32
HTTP::Cookies::Netscape	6.10
HTTP::Cookies::Microsoft	6.10
HTTP::Request::Common	6.32
Mozilla::CA	20999999
B::Hooks::EndOfScope	0.24
B::Hooks::EndOfScope::XS	0.24
B::Hooks::EndOfScope::PP	0.24
B::Hooks::EndOfScope::PP::HintHash	0.24
B::Hooks::EndOfScope::PP::FieldHash	0.24
MRO::Compat	0.13
Locale::Po4a::TransTractor	0.63
Locale::Po4a::TeX	undef
Locale::Po4a::Ini	undef
Locale::Po4a::AsciiDoc	undef
Locale::Po4a::Sgml	undef
Locale::Po4a::Man	undef
Locale::Po4a::Xhtml	undef
Locale::Po4a::Texinfo	undef
Locale::Po4a::Guide	undef
Locale::Po4a::Common	undef
Locale::Po4a::Dia	undef
Locale::Po4a::Wml	undef
Locale::Po4a::Pod	undef
Locale::Po4a::LaTeX	undef
Locale::Po4a::Halibut	undef
Locale::Po4a::Po	undef
Locale::Po4a::RubyDoc	undef
Locale::Po4a::Text	undef
Locale::Po4a::Chooser	undef
Locale::Po4a::Docbook	undef
Locale::Po4a::Yaml	undef
Locale::Po4a::Xml	undef
Locale::Po4a::BibTeX	undef
Locale::Po4a::KernelHelp	undef
Locale::Po4a::InProgress::Debconf	undef
